reference_year,reference_month,rule_name,total_records,failed_records,max_failed_percentage
2023,1,null_passenger_count,3066766,71743,2.3394
2023,1,zero_passenger_count,3066766,51164,1.6683
2023,1,negative_total_amount,3066766,25204,0.8218
2023,1,invalid_trip_duration,3066766,1121,0.0366
2023,1,zero_total_amount,3066766,568,0.0185
2023,1,records_outside_reference_month,3066766,48,0.0016
2023,1,dropoff_before_pickup,3066766,3,1.0E-4
2023,2,null_passenger_count,2913955,76817,2.6362
2023,2,zero_passenger_count,2913955,47277,1.6224
2023,2,negative_total_amount,2913955,24900,0.8545
2023,2,invalid_trip_duration,2913955,1265,0.0434
2023,2,zero_total_amount,2913955,566,0.0194
2023,2,dropoff_before_pickup,2913955,276,0.0095
2023,2,records_outside_reference_month,2913955,55,0.0019
2023,3,null_passenger_count,3403766,87619,2.5742
2023,3,zero_passenger_count,3403766,58365,1.7147
2023,3,negative_total_amount,3403766,29763,0.8744
2023,3,invalid_trip_duration,3403766,1453,0.0427
2023,3,zero_total_amount,3403766,600,0.0176
2023,3,dropoff_before_pickup,3403766,357,0.0105
2023,3,records_outside_reference_month,3403766,189,0.0056
2023,4,null_passenger_count,3288250,90690,2.758
2023,4,zero_passenger_count,3288250,56950,1.7319
2023,4,negative_total_amount,3288250,29763,0.9051
2023,4,invalid_trip_duration,3288250,1172,0.0356
2023,4,zero_total_amount,3288250,509,0.0155
2023,4,records_outside_reference_month,3288250,95,0.0029
2023,4,dropoff_before_pickup,3288250,91,0.0028
2023,5,null_passenger_count,3513649,101796,2.8972
2023,5,zero_passenger_count,3513649,59725,1.6998
2023,5,negative_total_amount,3513649,31777,0.9044
2023,5,invalid_trip_duration,3513649,1170,0.0333
2023,5,zero_total_amount,3513649,496,0.0141
2023,5,dropoff_before_pickup,3513649,68,0.0019
2023,5,records_outside_reference_month,3513649,50,0.0014
